category,difficulty,system,prompt,completion
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Round Robin (RR) scheduling gives each ready process a fixed time quantum to run. If a process does not finish within its quantum, it is preempted and placed at the back of the (circular) ready queue. Newly-arriving processes are added to the back of the queue before the just-preempted process is re-added. Completion Time (CT) is when a process finishes; Turnaround Time (TAT) = CT − Arrival Time; Waiting Time (WT) = TAT − Burst Time.

Question: Consider the following processes with their arrival and burst times (all times in milliseconds):

Process | Arrival Time | Burst Time
-----------------------------------
P1      | 0            | 3
P2      | 2            | 10
P3      | 5            | 11
P4      | 2            | 8
P5      | 0            | 6

Using Round Robin (time quantum = 2) scheduling, draw the Gantt chart and compute the Completion Time, Turnaround Time, and Waiting Time for each process. Also compute the average waiting time and average turnaround time.","Gantt Chart:
P1[0-2] -> P5[2-4] -> P2[4-6] -> P4[6-8] -> P1[8-9] -> P5[9-11] -> P3[11-13] -> P2[13-15] -> P4[15-17] -> P5[17-19] -> P3[19-21] -> P2[21-23] -> P4[23-25] -> P3[25-27] -> P2[27-29] -> P4[29-31] -> P3[31-33] -> P2[33-35] -> P3[35-37] -> P3[37-38]

Process | CT | TAT (=CT-AT) | WT (=TAT-BT)
P1      | 9  | 9            | 6
P2      | 35  | 33            | 23
P3      | 38  | 33            | 22
P4      | 31  | 29            | 21
P5      | 19  | 19            | 13

Average Turnaround Time = (9 + 33 + 33 + 29 + 19) / 5 = 24.60 ms
Average Waiting Time = (6 + 23 + 22 + 21 + 13) / 5 = 17 ms"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In a paged memory system, a logical address is split into a page number and an offset: page number = logical address // page size; offset = logical address % page size. The page table maps each page number to a physical frame number. The physical address is computed as: physical address = (frame number x page size) + offset.

Question: A system uses paging with a page size of 512 bytes. A process has 6 pages, with the following page table: page 0 -> frame 0, page 1 -> frame 3, page 2 -> frame 4, page 3 -> frame 2, page 4 -> frame 7, page 5 -> frame 6.

For the logical address 1862, determine: (a) the page number, (b) the offset within the page, (c) the corresponding frame number, and (d) the resulting physical address.","(a) Page number = logical address // page size = 1862 // 512 = 3
(b) Offset = logical address % page size = 1862 % 512 = 326
(c) From the page table, page 3 -> frame 2
(d) Physical address = (frame number x page size) + offset = (2 x 512) + 326 = 1350"
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Virtual memory is a technique that allows the execution of processes that are not completely in main memory, giving each process the illusion of a large, contiguous address space backed by disk.

Question: What is a page fault, and what steps does the OS take to handle one?","A page fault is a trap that occurs when a process references a page marked invalid (not currently in physical memory) in its page table. The OS: (1) checks if the reference is valid or an illegal access, (2) if valid, finds a free frame (or evicts a page using a replacement algorithm), (3) reads the required page in from disk into that frame, (4) updates the page table to mark it valid and record the frame number, and (5) restarts the instruction that caused the fault."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In contiguous memory allocation, free memory is organized as a list of holes (blocks). First-fit allocates a process into the first hole large enough to hold it (scanning from the start). Best-fit allocates into the smallest hole that is still large enough. Worst-fit allocates into the largest available hole. After allocation, the unused remainder of the chosen hole remains as a smaller free hole.

Question: Free memory consists of the following holes, in this order: B0=355KB, B1=352KB, B2=85KB, B3=167KB, B4=243KB. The following processes arrive in this order and must each be placed into a single contiguous free hole: P0=97KB, P1=85KB, P2=38KB, P3=133KB.

Using the best-fit allocation strategy, determine which memory block (if any) each process is placed into, and the sizes of the remaining free blocks after all allocations.","P0 (97KB): placed in B3 (was 167KB) -> B3 now has 70KB free
P1 (85KB): placed in B2 (was 85KB) -> B2 now has 0KB free
P2 (38KB): placed in B3 (was 70KB) -> B3 now has 32KB free
P3 (133KB): placed in B4 (was 243KB) -> B4 now has 110KB free

Final remaining free block sizes: B0=355KB, B1=352KB, B2=0KB, B3=32KB, B4=110KB"
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Address Space Layout Randomization (ASLR): An OS security defense that randomizes the base addresses of a process's stack, heap, and shared libraries on each execution, making it harder for an attacker to predict addresses for exploits like buffer overflows.

Question: Explain the term Address Space Layout Randomization (ASLR) in the context of operating systems.","An OS security defense that randomizes the base addresses of a process's stack, heap, and shared libraries on each execution, making it harder for an attacker to predict addresses for exploits like buffer overflows."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Belady's Anomaly: The counter-intuitive phenomenon where, under FIFO page replacement, increasing the number of available memory frames can increase (rather than decrease) the number of page faults.

Question: Explain the term Belady's Anomaly in the context of operating systems.","The counter-intuitive phenomenon where, under FIFO page replacement, increasing the number of available memory frames can increase (rather than decrease) the number of page faults."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Priority Inheritance Protocol: A real-time scheduling technique where a low-priority task holding a resource temporarily inherits the priority of the highest-priority task blocked waiting for that resource, bounding the delay caused by priority inversion.

Question: Define Priority Inheritance Protocol.","A real-time scheduling technique where a low-priority task holding a resource temporarily inherits the priority of the highest-priority task blocked waiting for that resource, bounding the delay caused by priority inversion."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
C-LOOK disk scheduling behaves like C-SCAN, but instead of jumping to the physical end of the disk, the head jumps directly to the closest pending request on the other side, avoiding unnecessary movement to an empty boundary.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 119. The pending requests, in the order they arrived, are: 92, 27, 23, 1, 78, 113, 194, 69.

Using the C-LOOK (initial direction: increasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 119 -> 194 -> 1 -> 23 -> 27 -> 69 -> 78 -> 92 -> 113

Head movement per step: |194-119|=75 + |1-194|=193 + |23-1|=22 + |27-23|=4 + |69-27|=42 + |78-69|=9 + |92-78|=14 + |113-92|=21

Total head movement = 380 cylinders"
out_of_context,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
On multi-socket systems, physical memory is divided into NUMA nodes, each directly attached to one socket. Any core can access any node's memory, but a remote access (crossing to another socket's node over an inter-socket interconnect) has higher latency and lower bandwidth than a local access, which shapes how a NUMA-aware OS schedules threads and allocates memory.

Question: What is the tallest mountain in the world?",OUT_OF_CONTEXT
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Inter-Processor Interrupt (IPI): A hardware interrupt one CPU core sends directly to another (via the Local APIC on x86, or an SGI via the GIC on ARM) to force it to run a specific handler immediately, used e.g. to coordinate TLB shootdowns across cores.

Question: Explain the term Inter-Processor Interrupt (IPI) in the context of operating systems.","A hardware interrupt one CPU core sends directly to another (via the Local APIC on x86, or an SGI via the GIC on ARM) to force it to run a specific handler immediately, used e.g. to coordinate TLB shootdowns across cores."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Real-time scheduling algorithms like Rate Monotonic Scheduling (RMS) and Earliest Deadline First (EDF) schedule periodic tasks to guarantee that each task's deadline (usually equal to its period) is met. RMS is a fixed-priority algorithm; EDF is a dynamic-priority algorithm and is provably optimal among such algorithms.

Question: What is Earliest Deadline First (EDF) scheduling, and how does its schedulability bound compare to RMS's?","EDF is a dynamic-priority preemptive scheduling algorithm: at every scheduling decision, the CPU is given to whichever ready task has the nearest absolute deadline, so a task's effective priority changes over time as its deadline approaches. Unlike RMS's fixed ~69% (ln 2) utilization bound, EDF is provably optimal among all dynamic-priority scheduling algorithms and guarantees all deadlines are met for any task set as long as total utilization U = sum(C_i/T_i) <= 1 — i.e. up to 100% CPU utilization, strictly better schedulability than RMS — at the cost of higher run-time scheduling overhead, since priorities must be recomputed dynamically rather than fixed once."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Busy waiting: A situation where a process repeatedly checks a condition in a loop (spinning) while waiting for it to become true, wasting CPU cycles instead of blocking.

Question: Define Busy waiting.","A situation where a process repeatedly checks a condition in a loop (spinning) while waiting for it to become true, wasting CPU cycles instead of blocking."
out_of_context,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
First-Come, First-Served (FCFS) scheduling allocates the CPU to processes in the order they arrive in the ready queue. It is implemented with a simple FIFO queue and is non-preemptive.

Question: How do you bake a chocolate cake?",OUT_OF_CONTEXT
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
FIFO page replacement evicts the page that has been resident in memory the longest, regardless of how recently or often it has been used, when a page fault occurs and all frames are full.

Question: A system uses 4 page frames and the FIFO page replacement algorithm. Given the page reference string:
4, 0, 2, 1, 1, 4, 2, 1, 0, 5, 0

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
4   | [4]                   | Fault
0   | [4, 0]                | Fault
2   | [4, 0, 2]             | Fault
1   | [4, 0, 2, 1]          | Fault
1   | [4, 0, 2, 1]          | Hit
4   | [4, 0, 2, 1]          | Hit
2   | [4, 0, 2, 1]          | Hit
1   | [4, 0, 2, 1]          | Hit
0   | [4, 0, 2, 1]          | Hit
5   | [0, 2, 1, 5]          | Fault
0   | [0, 2, 1, 5]          | Hit

Total references = 11
Total page faults = 5
Total page hits = 6
Page fault rate = 5/11 = 0.45"
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Shortest Job First (SJF) scheduling selects the ready process with the smallest next CPU burst time. It can be implemented as non-preemptive (classic SJF) or preemptive (Shortest Remaining Time First, SRTF).

Question: How does SJF (Shortest Job First) scheduling work, and why is it considered optimal?","SJF selects, among all processes currently in the ready queue, the one with the smallest CPU burst time to run next. It is provably optimal for minimizing average waiting time for a given set of processes, because scheduling shorter jobs first reduces the total time other jobs spend waiting behind them."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
When a page fault occurs and no free frame is available, the OS must select an existing page to evict from memory using a page-replacement algorithm, such as FIFO, LRU, or Optimal.

Question: What is Belady's Anomaly?","Belady's Anomaly is the counter-intuitive phenomenon where, for certain page-reference strings under the FIFO replacement algorithm, increasing the number of available frames actually increases the number of page faults, instead of decreasing or staying the same. Stack-based algorithms like LRU and Optimal never exhibit this anomaly."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Busy waiting: A situation where a process repeatedly checks a condition in a loop (spinning) while waiting for it to become true, wasting CPU cycles instead of blocking.

Question: What is Busy waiting?","A situation where a process repeatedly checks a condition in a loop (spinning) while waiting for it to become true, wasting CPU cycles instead of blocking."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
LOOK disk scheduling behaves like SCAN, but instead of travelling all the way to the physical end of the disk, the head reverses direction as soon as it services the last pending request in the current direction, avoiding unnecessary movement.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 93. The pending requests, in the order they arrived, are: 128, 178, 172, 110, 45, 27.

Using the LOOK (initial direction: increasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 93 -> 110 -> 128 -> 172 -> 178 -> 45 -> 27

Head movement per step: |110-93|=17 + |128-110|=18 + |172-128|=44 + |178-172|=6 + |45-178|=133 + |27-45|=18

Total head movement = 236 cylinders"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
C-LOOK disk scheduling behaves like C-SCAN, but instead of jumping to the physical end of the disk, the head jumps directly to the closest pending request on the other side, avoiding unnecessary movement to an empty boundary.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 144. The pending requests, in the order they arrived, are: 1, 136, 141, 105, 3, 4.

Using the C-LOOK (initial direction: decreasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 144 -> 141 -> 136 -> 105 -> 4 -> 3 -> 1

Head movement per step: |141-144|=3 + |136-141|=5 + |105-136|=31 + |4-105|=101 + |3-4|=1 + |1-3|=2

Total head movement = 143 cylinders"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
LOOK disk scheduling behaves like SCAN, but instead of travelling all the way to the physical end of the disk, the head reverses direction as soon as it services the last pending request in the current direction, avoiding unnecessary movement.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 32. The pending requests, in the order they arrived, are: 189, 11, 102, 112, 59, 138, 55.

Using the LOOK (initial direction: increasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 32 -> 55 -> 59 -> 102 -> 112 -> 138 -> 189 -> 11

Head movement per step: |55-32|=23 + |59-55|=4 + |102-59|=43 + |112-102|=10 + |138-112|=26 + |189-138|=51 + |11-189|=178

Total head movement = 335 cylinders"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
LRU (Least Recently Used) page replacement evicts the page that has not been referenced for the longest time, when a page fault occurs and all frames are full — it uses the recent past as an approximation of the near future.

Question: A system uses 3 page frames and the LRU page replacement algorithm. Given the page reference string:
0, 0, 2, 3, 5, 5, 3, 4, 3, 3, 4, 0, 1, 2

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
0   | [0]                   | Fault
0   | [0]                   | Hit
2   | [0, 2]                | Fault
3   | [0, 2, 3]             | Fault
5   | [2, 3, 5]             | Fault
5   | [2, 3, 5]             | Hit
3   | [2, 5, 3]             | Hit
4   | [5, 3, 4]             | Fault
3   | [5, 4, 3]             | Hit
3   | [5, 4, 3]             | Hit
4   | [5, 3, 4]             | Hit
0   | [3, 4, 0]             | Fault
1   | [4, 0, 1]             | Fault
2   | [0, 1, 2]             | Fault

Total references = 14
Total page faults = 8
Total page hits = 6
Page fault rate = 8/14 = 0.57"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
LOOK disk scheduling behaves like SCAN, but instead of travelling all the way to the physical end of the disk, the head reverses direction as soon as it services the last pending request in the current direction, avoiding unnecessary movement.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 120. The pending requests, in the order they arrived, are: 186, 57, 0, 193, 5, 76, 118.

Using the LOOK (initial direction: decreasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 120 -> 118 -> 76 -> 57 -> 5 -> 0 -> 186 -> 193

Head movement per step: |118-120|=2 + |76-118|=42 + |57-76|=19 + |5-57|=52 + |0-5|=5 + |186-0|=186 + |193-186|=7

Total head movement = 313 cylinders"
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
NUMA (Non-Uniform Memory Access): A multi-socket memory architecture where each socket has its own directly-attached memory node, and accessing another socket's (remote) node over the inter-socket interconnect is slower than accessing the local node.

Question: Define NUMA (Non-Uniform Memory Access).","A multi-socket memory architecture where each socket has its own directly-attached memory node, and accessing another socket's (remote) node over the inter-socket interconnect is slower than accessing the local node."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
As processes enter the system, they are placed in a job queue. Processes in main memory waiting to run are in the ready queue, and processes waiting for a particular I/O device are placed in a device queue.

Question: What is the difference between a job queue, a ready queue, and a device (I/O) queue?","The job queue holds all processes in the system (including those not yet in memory). The ready queue holds processes that are in main memory and ready to execute, waiting for CPU allocation. A device queue holds processes waiting for a specific I/O device to become available."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In a paged memory system, a logical address is split into a page number and an offset: page number = logical address // page size; offset = logical address % page size. The page table maps each page number to a physical frame number. The physical address is computed as: physical address = (frame number x page size) + offset.

Question: A system uses paging with a page size of 1024 bytes. A process has 5 pages, with the following page table: page 0 -> frame 9, page 1 -> frame 8, page 2 -> frame 2, page 3 -> frame 4, page 4 -> frame 10.

For the logical address 2663, determine: (a) the page number, (b) the offset within the page, (c) the corresponding frame number, and (d) the resulting physical address.","(a) Page number = logical address // page size = 2663 // 1024 = 2
(b) Offset = logical address % page size = 2663 % 1024 = 615
(c) From the page table, page 2 -> frame 2
(d) Physical address = (frame number x page size) + offset = (2 x 1024) + 615 = 2663"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In contiguous memory allocation, free memory is organized as a list of holes (blocks). First-fit allocates a process into the first hole large enough to hold it (scanning from the start). Best-fit allocates into the smallest hole that is still large enough. Worst-fit allocates into the largest available hole. After allocation, the unused remainder of the chosen hole remains as a smaller free hole.

Question: Free memory consists of the following holes, in this order: B0=290KB, B1=142KB, B2=148KB, B3=178KB, B4=245KB, B5=56KB. The following processes arrive in this order and must each be placed into a single contiguous free hole: P0=157KB, P1=227KB, P2=256KB.

Using the first-fit allocation strategy, determine which memory block (if any) each process is placed into, and the sizes of the remaining free blocks after all allocations.","P0 (157KB): placed in B0 (was 290KB) -> B0 now has 133KB free
P1 (227KB): placed in B4 (was 245KB) -> B4 now has 18KB free
P2 (256KB): no free block is large enough -> CANNOT be allocated

Final remaining free block sizes: B0=133KB, B1=142KB, B2=148KB, B3=178KB, B4=18KB, B5=56KB"
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
File descriptor: A small non-negative integer that a process uses as a handle to refer to an open file or other I/O resource when making system calls.

Question: What is File descriptor?",A small non-negative integer that a process uses as a handle to refer to an open file or other I/O resource when making system calls.
analytical,hard,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
CPU scheduling algorithms are compared using several criteria: CPU utilization, throughput, turnaround time, waiting time, and response time. Different algorithms optimize different criteria, and no single algorithm is best for every situation.

Question: Why can't a scheduler simultaneously maximize CPU utilization/throughput and minimize every individual process's waiting time in all cases?","Maximizing CPU utilization and throughput generally means keeping the CPU as continuously busy as possible and completing as many processes per unit time as possible — objectives best served by favoring whichever process can run efficiently right now. Minimizing an individual process's waiting time, though, is about how long ONE specific process sits in the ready queue before it gets the CPU. These pull in different directions once multiple processes compete: keeping the CPU maximally busy processing whichever jobs are convenient can mean a specific process (e.g. one with a long burst) is deliberately made to wait longer while other, shorter jobs run in front of it. Since the listed criteria (utilization, throughput, turnaround time, waiting time, response time) are being optimized simultaneously for potentially conflicting goals across an entire mix of processes, no single scheduling policy can be strictly best on every criterion for every workload at once — this is exactly why different algorithms exist, each favoring a different criterion."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Operating systems can be classified by how they schedule and share the CPU among users and processes: batch systems, multiprogrammed systems, time-sharing systems, real-time systems, and distributed systems, each suited to different workloads.

Question: What is a time-sharing (multitasking) operating system?","A time-sharing OS extends multiprogramming by rapidly switching the CPU among multiple users' processes (using time slices), giving each user the illusion of having a dedicated, responsive system even though the CPU is actually shared, e.g. Windows, Linux, UNIX."
analytical,hard,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
The critical-section problem is to design a protocol that processes can use to cooperate safely when accessing shared data. A solution must satisfy mutual exclusion, progress, and bounded waiting.

Question: Why can't a race condition be fixed just by making each individual read and each individual write atomic on their own, without protecting the whole read-modify-write sequence as a single unit?","Making each individual read and each individual write atomic only guarantees that no other process can observe a torn/partial value during that single operation — it says nothing about what can happen BETWEEN operations. The critical section problem exists precisely because a read-modify-write sequence is multiple separate steps, and another process is free to run its own steps in the gap between them. For example, even if each read and each write is individually atomic, one process can still read a value, then be interrupted before it writes back, while a second process reads the same (still-unmodified) value and writes its own update — both processes end up basing their update on the same stale value. Correctness requires the entire sequence to be treated as one indivisible critical section (only one process executing any part of it at a time), not just each individual memory access."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
The statement 'counter++' is not atomic at the machine-instruction level: it typically compiles to a separate load, add, and store, and a race between two threads executing these instructions concurrently can silently lose an update.

Question: Two threads increment a shared global counter using 'counter++;' with no locking, where this compiles to three machine instructions: LOAD counter into a register, ADD 1 to the register, STORE the register back to counter. Starting from counter == 5, give a specific interleaving of these six instructions that causes the final value to be 6 instead of the expected 7, and explain why.","One race interleaving: Thread A: LOAD counter (reg_A = 5). Thread B: LOAD counter (reg_B = 5) — this happens before Thread A has written anything back, so B also reads the old value 5. Thread A: ADD 1 (reg_A = 6). Thread A: STORE reg_A to counter (counter becomes 6). Thread B: ADD 1 (reg_B = 6, using its own stale copy read earlier). Thread B: STORE reg_B to counter (counter becomes 6 again, silently overwriting Thread A's update). Final value: counter == 6, not 7 — one increment is lost. This happens because 'counter++' is not atomic: both threads read the same starting value into their own private registers before either has written a result back, so their increments are each computed independently from the same stale base value, and whichever thread stores last simply overwrites the other's result instead of building on it. The fix is to make the read-modify-write sequence atomic with respect to other threads — e.g. wrapping it in a mutex, or using a hardware atomic instruction such as x86's LOCK XADD or C11's atomic_fetch_add."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Optimal (MIN/Belady's) page replacement evicts the page that will not be used again for the longest time in the future (or never used again), when a page fault occurs and all frames are full. It gives the theoretical minimum number of page faults but requires advance knowledge of the full reference string.

Question: A system uses 3 page frames and the Optimal page replacement algorithm. Given the page reference string:
1, 3, 0, 2, 3, 1, 1, 0, 0, 2, 3, 4

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
1   | [1]                   | Fault
3   | [1, 3]                | Fault
0   | [1, 3, 0]             | Fault
2   | [1, 3, 2]             | Fault
3   | [1, 3, 2]             | Hit
1   | [1, 3, 2]             | Hit
1   | [1, 3, 2]             | Hit
0   | [3, 2, 0]             | Fault
0   | [3, 2, 0]             | Hit
2   | [3, 2, 0]             | Hit
3   | [3, 2, 0]             | Hit
4   | [2, 0, 4]             | Fault

Total references = 12
Total page faults = 6
Total page hits = 6
Page fault rate = 6/12 = 0.50"
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
System calls provide the interface between a running program and the operating system, allowing user programs to request kernel services such as file operations, process control, and communication.

Question: What is the difference between user mode and kernel mode?","User mode is a restricted CPU execution mode in which application code runs; it cannot directly execute privileged instructions or access hardware. Kernel mode (supervisor mode) is an unrestricted mode in which the OS runs, with full access to all instructions and hardware, entered only via system calls, interrupts, or exceptions."
